Title,Author,Ave_rating,Rating_cnt,Review_cnt,Year,Pages,Publisher
Beastkeeper,Cat Hellisen,3.33,2586,612,2015,208,Henry Holt and Co. (BYR)
Exile,Shannon Messenger,4.6,10319,839,2013,576,Aladdin
The Burning Bridge,John Flanagan,4.3,93485,2749,2006,262,Philomel Books
George's Marvellous Medicine,Roald Dahl,4.03,65963,2173,2003,120,Jonathan Cape
Gone Crazy in Alabama,Rita Williams-Garcia,4.12,2951,545,2015,320,Amistad
The Penderwicks in Spring,Jeanne Birdsall,4.41,5797,965,2015,352,Knopf Books for Young Readers
Gregor and the Code of Claw,Suzanne Collins,4.27,38512,1791,2007,412,Scholastic Press
The Magic Thief,Sarah Prineas,3.95,16540,1171,2008,422,HarperCollins
Sheets,Brenna Thummler,3.65,4698,1020,2018,239,"Lion Forge, LLc, The"
Ban This Book,Alan Gratz,4.42,2892,752,2017,256,Starscape Books
Spirit Hunters,Ellen Oh,4.02,1111,287,2017,288,HarperCollins
Pip Bartlett's Guide to Magical Creatures,Jackson Pearce,3.98,1858,456,2015,192,Scholastic Press
The Island of Dr. Libris,Chris Grabenstein,3.78,4795,739,2015,242,Random House Books for Young Readers
Taran Wanderer,Lloyd Alexander,4.14,34526,926,2006,222,Square Fish
The Diamond of Darkhold,Jeanne DuPrau,3.8,22544,1717,2008,293,Random House
Rapunzel's Revenge,Shannon Hale,3.87,14626,2116,2008,144,Bloomsbury USA Childrens
The Remarkable Journey of Coyote Sunrise,Dan Gemeinhart,4.55,1243,381,2019,344,Henry Holt
Al Capone Does My Shirts,Gennifer Choldenko,3.84,37463,3711,2006,225,Puffin Books
All the Answers,Kate Messner,4.08,3088,501,2015,256,Bloomsbury USA Childrens
The Best Christmas Pageant Ever,Barbara Robinson,4.18,41918,2580,2005,128,HarperCollins
The Castle of Llyr,Lloyd Alexander,4.08,31153,843,2006,174,Square Fish
Farmer Boy,Laura Ingalls Wilder,4.06,50587,1859,2007,357,HarperTrophy
Rebound,Kwame Alexander,4.27,5838,830,2018,416,HMH Books for Young Readers
The Science of Breakable Things,Tae Keller,4.21,921,262,2018,173,Random House
These Happy Golden Years,Laura Ingalls Wilder,4.18,59503,1173,1953,289,"Harper &amp; Row, Publishers"
Nest,Esther Ehrlich,3.98,3190,703,2014,336,Wendy Lamb Books
The Secret Hum of a Daisy,Tracy Holczer,4.07,2499,475,2014,312,G.P. Putnam's Sons Books for Young Readers
Chomp,Carl Hiaasen,3.95,16691,2122,2012,306,Knopf Books for Young Readers
13 Treasures,Michelle Harrison,4.04,8127,919,2010,368,Little Brown and Company
The Unbeatable Squirrel Girl: Squirrel Meets World,Shannon Hale,4.14,2452,670,2017,324,Marvel Press
West of the Moon,Margi Preus,3.73,3534,590,2014,213,Harry N. Abrams
The Cricket in Times Square,George Selden,4.02,56147,1529,1999,134,Yearling
The Dark Hills Divide,Patrick Carman,3.72,20421,910,2005,272,Scholastic
The Thief,Megan Whalen Turner,3.89,55420,6493,2005,280,Greenwillow Books
Auggie & Me: Three Wonder Stories,R.J. Palacio,4.36,21498,2495,2015,303,Corgi Childrens
Schooled,Gordon Korman,3.83,24157,2689,2007,224,Hyperion Books for Children
The Birchbark House,Louise Erdrich,3.95,5677,915,2002,256,Hyperion Books for Children
The Book of Boy,Catherine Gilbert Murdock,3.82,1276,356,2018,293,Greenwillow
Counting Thyme,Melanie Conklin,4.26,1950,378,2016,300,G.P. Putnam's Sons Books for Young Readers
The Great Greene Heist,Varian Johnson,3.85,2175,441,2014,240,Arthur A. Levine Books
Jinx,Sage Blackwood,4.03,5911,590,2013,368,HarperCollins
A Tale of Two Castles,Gail Carson Levine,3.75,7586,859,2011,328,HarperTeen
The Wolves of Willoughby Chase,Joan Aiken,4.08,16791,1107,2000,181,Delacorte Press
Little Town on the Prairie,Laura Ingalls Wilder,4.18,76093,1016,2007,374,HarperTrophy
The Girl of Ink and Stars,Kiran Millwood Hargrave,3.69,5508,900,2016,228,Chicken House
The Mark of the Dragonfly,Jaleigh Johnson,4.05,5087,828,2014,400,Delacorte Books for Young Readers
A Face Like Glass,Frances Hardinge,4.19,4716,905,2012,496,Pan Macmillan Children's
Disney after Dark,Ridley Pearson,3.91,23266,2462,2005,326,Disney Press
A Year Down Yonder,Richard Peck,4.11,26593,1798,2002,160,Puffin Books
Full Cicada Moon,Marilyn Hilton,4.32,3874,661,2015,400,Dial Books for Young Readers
Percy Jackson's Greek Heroes,Rick Riordan,4.5,19942,1385,2015,404,Disney - Hyperion Books
The Julian Chapter,R.J. Palacio,4.31,20097,2230,2014,84,Knopf Books for Young Readers
The High King,Lloyd Alexander,4.24,48739,1068,2006,253,
The Trumpet of the Swan,E.B. White,4.07,62994,2009,2000,252,
The Lotterys Plus One,Emma Donoghue,3.39,1527,400,2017,303,
The Epic Fail of Arturo Zamora,Pablo Cartaya,3.97,1532,364,2017,256,
The Last Guardian,Eoin Colfer,4.14,47224,2173,2012,328,
Castle in the Air,Diana Wynne Jones,3.93,32029,1985,2001,298,
The Unusual Suspects,Michael Buckley,4.23,20375,940,2007,292,
Stormbreaker,Anthony Horowitz,3.98,79786,4868,2004,256,
Physik,Angie Sage,4.0,47627,1210,2007,545,
Pictures of Hollis Woods,Patricia Reilly Giff,4.01,26245,1948,2004,166,
Posted,John David  Anderson,4.04,2954,594,2017,384,
Snow White: A Graphic Novel,Matt Phelan,3.83,5853,1068,2016,216,
The Ethan I Was Before,Ali Standish,4.3,1560,356,2017,368,
Blackbird Fly,Erin Entrada Kelly,4.14,1473,318,2015,296,
The Thing About Luck,Cynthia Kadohata,3.68,4553,667,2013,270,
So You Want to Be a Wizard,Diane Duane,3.82,24517,1085,2003,323,
Beyond the Grave,Jude Watson,3.91,42859,922,2009,190,
Revenge of the Witch,Joseph Delaney,3.98,38299,2989,2006,344,
The Case of the Missing Moonstone,Jordan Stratford,3.85,1803,392,2015,240,
When Did You See Her Last?,Lemony Snicket,4.08,7678,779,2013,279,
The Atlantis Complex,Eoin Colfer,3.97,47639,1818,2010,357,
Freak the Mighty,Rodman Philbrick,4.0,40423,3997,2001,169,
Among the Impostors,Margaret Peterson Haddix,4.06,25999,1339,2002,172,
The Cabinet of Wonders,Marie Rutkoski,3.94,4365,538,2008,258,
The Dragon with a Chocolate Heart,Stephanie Burgis,4.3,1240,347,2017,,
The Misadventures of the Family Fletcher,Dana Alison Levy,3.98,2356,444,2014,272,
A Wrinkle in Time: The Graphic Novel,Hope Larson,3.92,16659,1795,2012,392,
Every Soul a Star,Wendy Mass,4.1,20301,1818,2008,322,
The London Eye Mystery,Siobhan Dowd,3.83,10152,1318,2007,333,
Ballet Shoes,Noel Streatfeild,4.07,30512,1187,2003,233,
The Assassination of Brangwain Spurge,M.T. Anderson,4.15,1490,440,2018,525,
From the Notebooks of a Middle School Princess,Meg Cabot,3.95,2753,472,2015,192,
The Truth About Twinkie Pie,Kat Yeh,4.12,1875,375,2015,352,
House of Secrets,Chris Columbus,3.81,10065,975,2013,490,
Storybound,Marissa Burt,3.86,4606,497,2012,403,
Mr. Popper's Penguins,Richard Atwater,3.97,57975,2432,1992,139,
Olive's Ocean,Kevin Henkes,3.78,12358,1217,2005,217,
"Ida B. . . and Her Plans to Maximize Fun, Avoid Disaster, and (Possibly) Save the World",Katherine Hannigan,3.87,21841,1748,2011,272,
A Crooked Kind of Perfect,Linda Urban,3.86,11974,1175,2007,224,
The Golden Tower,Holly Black,4.07,4011,542,2018,256,
"Swing it, Sunny",Jennifer L. Holm,4.03,3667,541,2017,224,
The Girl in the Well Is Me,Karen Rivers,3.5,1370,367,2016,224,
Talking to Dragons,Patricia C. Wrede,4.2,31492,653,2003,255,
The Mother-Daughter Book Club,Heather Vogel Frederick,4.06,11606,1277,2007,245,
The Icebound Land,John Flanagan,4.23,60155,2089,2007,266,
Superfudge,Judy Blume,3.99,57535,1347,2007,192,
Wish,Barbara O'Connor,4.31,4574,724,2016,240,
The Seventh Most Important Thing,Shelley Pearsall,4.06,5791,881,2015,288,
Loot,Jude Watson,3.97,4793,772,2014,272,
Space Case,Stuart Gibbs,4.25,5660,774,2014,352,
"Five, Six, Seven, Nate!",Tim Federle,4.12,2370,382,2014,295,
The Forgotten Sisters,Shannon Hale,4.15,6570,917,2015,336,
The Girl Who Soared Over Fairyland and Cut the Moon in Two,Catherynne M. Valente,4.01,4628,704,2013,248,
Bliss,Kathryn Littlewood,3.81,5921,835,2012,374,
Hard Luck,Jeff Kinney,4.28,49976,2839,2013,217,
The Grimm Legacy,Polly Shulman,3.88,14568,2228,2010,325,
Ender's Game,Orson Scott Card,4.3,996348,40938,1994,324,
The Dollmaker of Krakow,R.M. Romero,4.1,1827,505,2017,336,
A Boy Called Bat,Elana K. Arnold,4.03,2378,457,2017,208,
Full of Beans,Jennifer L. Holm,4.05,2265,485,2016,208,
The Long Haul,Jeff Kinney,4.33,40240,3090,2014,224,
Hook's Revenge,Heidi Schulz,3.99,1073,272,2014,304,
"Princeless, Vol. 1: Save Yourself",Jeremy Whitley,3.99,7867,746,2012,140,
Starry River of the Sky,Grace Lin,4.11,6746,734,2012,,
The Wig in the Window,Kristen Kittscher,3.97,1341,217,2013,368,
The Diary of a Young Girl,Anne Frank,4.12,2365577,24607,1993,304,
Countdown,Deborah Wiles,3.9,9548,1434,2010,394,
Mister Monday,Garth Nix,3.78,33220,1409,2006,384,
Scary Stories to Tell in the Dark,Alvin Schwartz,4.07,45221,1929,1989,112,
The Whipping Boy,Sid Fleischman,3.55,21029,1262,2003,90,
Lu,Jason Reynolds,4.35,1608,364,2018,,
The List,Patricia Forde,3.63,2132,622,2017,336,
Where the Watermelons Grow,Cindy  Baldwin,4.21,906,272,2018,256,
Kristy's Great Idea,Ann M. Martin,3.96,26191,985,1995,153,
Frazzled: Everyday Disasters and Impending Doom,Booki Vivat,3.86,1415,326,2016,225,
The Map to Everywhere,Carrie Ryan,4.07,1766,320,2014,448,
House of Many Ways,Diana Wynne Jones,4.05,23824,1739,2008,416,
Everything on a Waffle,Polly Horvath,3.71,10014,851,2004,150,
Treasure Island,Robert Louis Stevenson,3.83,352281,9517,2001,311,
Blended,Sharon M. Draper,3.97,1675,390,2018,308,
The Empty Grave,Jonathan Stroud,4.59,6609,1215,2017,448,
"Forever, or a Long, Long Time",Caela Carter,4.42,1178,279,2017,336,
Scar Island,Dan Gemeinhart,3.99,2263,479,2017,256,
The Apprentice Witch,James  Nicol,3.92,1462,361,2017,323,
The Menagerie,Tui T. Sutherland,4.26,3249,327,2013,288,
The Wide-Awake Princess,E.D. Baker,4.1,11185,961,2010,261,
The Black Circle,Patrick Carman,4.01,47175,768,2009,168,
The Imaginary,A.F. Harrold,4.01,2461,563,2014,224,
The Water Castle,Megan Frazer Blakemore,3.83,2789,385,2013,344,
Charlie Bone and the Time Twister,Jenny Nimmo,3.89,21114,543,2003,,
To Night Owl from Dogfish,Holly Goldberg Sloan,4.13,850,246,2019,304,
Frogkisser!,Garth Nix,3.78,3506,918,2017,372,
The Pants Project,Cat Clarke,4.07,1054,282,2017,272,
A Swiftly Tilting Planet,Madeleine L'Engle,4.12,94613,2111,1981,278,
I Kill the Mockingbird,Paul Acampora,3.78,3572,762,2014,176,
Everblaze,Shannon Messenger,4.67,8336,686,2014,624,
Serafina and the Twisted Staff,Robert  Beatty,4.28,5688,860,2016,370,
The Glass Town Game,Catherynne M. Valente,3.74,796,231,2017,544,
The Voyage to Magical North,Claire Fayers,4.02,512,147,2016,320,
Fire and Ice,Erin Hunter,4.37,39345,1580,2004,317,
Ninth Ward,Jewell Parker Rhodes,3.99,5443,875,2010,217,
In Too Deep,Jude Watson,4.03,40703,698,2009,206,
Joey Pigza Swallowed the Key,Jack Gantos,3.75,15722,966,2001,160,
Jacob Have I Loved,Katherine Paterson,3.66,29107,1840,2003,244,
The Candy Shop War,Brandon Mull,4.05,23451,2318,2007,404,
Peter and the Shadow Thieves,Dave Barry,4.15,33054,1362,2006,557,
The Last,Katherine Applegate,4.15,1526,369,2267,,
Garvey's Choice,Nikki Grimes,4.02,2876,671,2016,120,
The Scourge,Jennifer A. Nielsen,3.89,2733,540,2016,368,
When Friendship Followed Me Home,Paul Griffin,4.22,2696,590,2016,240,
A Boy Called Christmas,Matt Haig,4.13,5592,892,2015,266,
Some Kind of Courage,Dan Gemeinhart,4.35,2635,726,2016,234,
Beyond the Kingdoms,Chris Colfer,4.51,19299,1395,2015,433,
Half a Chance,Cynthia Lord,4.0,5555,676,2014,218,
The Extraordinary Education of Nicholas Benedict,Trenton Lee Stewart,4.35,11484,1010,2012,470,
The Humming Room,Ellen Potter,3.83,4417,555,2012,192,
Breaking Stalin's Nose,Eugene Yelchin,3.81,7884,1197,2011,160,
Johnny Tremain,Esther Forbes,3.63,36644,2124,1987,322,
Queste,Angie Sage,4.05,48262,1022,2008,596,
Anne of the Island,L.M. Montgomery,4.23,112819,3005,1983,272,
Blubber,Judy Blume,3.79,29444,1159,2006,127,
The Kneebone Boy,Ellen Potter,3.93,3114,547,2010,288,
The Hundred Dresses,Eleanor Estes,4.09,30756,2388,2004,80,
The Battle for Skandia,John Flanagan,4.33,73921,1836,2008,294,
Winnie-the-Pooh,A.A. Milne,4.34,237488,3869,2001,145,
The Journey of Little Charlie,Christopher Paul Curtis,4.13,1216,336,1898,,
Tilly and the Bookwanderers,Anna     James,4.27,919,225,2018,400,
The Warden's Daughter,Jerry Spinelli,3.67,2653,511,2017,,
The Meaning of Maggie,Megan Jean Sovern,4.07,2574,408,2014,220,
Flights and Chimes and Mysterious Times,Emma Trevayne,3.61,952,205,2014,314,
Middle School: The Worst Years of My Life,James Patterson,4.03,18121,2206,2011,288,
The Sign of the Beaver,Elizabeth George Speare,3.79,28711,1552,1983,148,
House Arrest,K.A. Holt,4.19,6078,1047,2015,304,
Phoebe and Her Unicorn,Dana Simpson,4.09,8608,679,2014,222,
The Eighth Day,Dianne K. Salerni,4.03,3325,572,2014,320,
Storm Warning,Linda Sue Park,3.99,43989,632,2010,190,
The Dreamer,Pam Muñoz Ryan,3.96,5546,1006,2010,384,
The Emperor's Code,Gordon Korman,4.04,40242,549,2010,190,
Flush,Carl Hiaasen,3.88,24686,2363,2005,263,
Ghosts of Greenglass House,Kate Milford,4.05,1387,286,2017,464,
Sanity & Tallulah,Molly Brooks,3.95,710,192,2018,240,
Nightlights,Lorena Alvarez Gomez,3.89,3033,596,2017,60,
Firelight,Kazu Kibuishi,4.42,6917,755,2016,199,
Zebra Forest,Adina Rishe Gewirtz,3.75,3277,480,2013,208,
The Unseen Guest,Maryrose Wood,4.06,5013,594,2013,340,
The Great Unexpected,Sharon Creech,3.74,4510,622,2012,226,
Welcome to Dead House,R.L. Stine,3.84,24004,1247,2003,126,
The Sinister Sweetness of Splendid Academy,Nikki Loftin,3.98,1868,235,2012,305,
American Born Chinese,Gene Luen Yang,3.88,61730,7062,2006,240,
The Devil's Arithmetic,Jane Yolen,4.01,51365,2148,2004,170,
There's a Boy in the Girls' Bathroom,Louis Sachar,3.98,18052,1601,1997,195,
Aquicorn Cove,Katie O'Neill,4.03,1932,542,2018,96,
Ogre Enchanted,Gail Carson Levine,3.61,1749,310,2018,352,
The Problem Child,Michael Buckley,4.28,17722,631,2006,320,
Watership Down,Richard  Adams,4.06,350712,11980,1975,478,
Hattie Big Sky,Kirby Larson,3.98,14718,1956,2007,289,
Fly by Night,Frances Hardinge,3.78,5657,685,2006,486,
Once Upon a Marigold,Jean Ferris,3.99,22392,1513,2004,271,
First Light,Rebecca Stead,3.85,5266,784,2007,328,
How to Eat Fried Worms,Thomas Rockwell,3.76,42766,982,2006,128,
Feathers,Jacqueline Woodson,3.67,5778,1062,2007,118,
Jeremy Fink and the Meaning of Life,Wendy Mass,4.02,17640,1615,2006,289,
Waiting for Normal,Leslie Connor,4.03,10738,1307,2008,290,
Betty Before X,Ilyasah Shabazz,4.12,844,189,2018,256,
Escape from Aleppo,N.H. Senzai,4.03,830,200,2018,256,
The Crooked Sixpence,Jennifer Bell,3.87,1644,281,2017,320,
The Luck Uglies,Paul Durham,4.05,2173,290,2014,395,
The Center of Everything,Linda Urban,3.77,3847,375,2013,208,
Mistakes Were Made,Stephan Pastis,3.89,4996,812,2013,294,
Goblin Secrets,William  Alexander,3.55,2027,459,2012,240,
The Book Thief,Markus Zusak,4.37,1552431,103471,2006,552,
Forest of Secrets,Erin Hunter,4.42,36756,1274,2004,312,
Rising Storm,Erin Hunter,4.39,34244,991,2005,336,
The Viper's Nest,Peter Lerangis,3.98,41799,602,2010,190,
Danny the Champion of the World,Roald Dahl,4.08,51242,2197,2002,224,
Otherwise Known as Sheila the Great,Judy Blume,3.95,35967,689,2007,160,
The Lost Girl,Anne Ursu,4.2,397,117,2019,368,
"Lumberjanes, Vol. 2:  Friendship to the Max",Noelle Stevenson,4.18,17178,1620,2015,126,
Arsenic for Tea,Robin  Stevens,4.29,2910,392,2015,339,
The Fog Diver,Joel N. Ross,4.07,1404,276,2015,332,
The Inn Between,Marina Cohen,3.71,790,241,2016,208,
The Staff of Serapis,Rick Riordan,4.31,19725,859,2014,60,
Target Practice,Mike Maihack,4.08,5903,465,2014,176,
Crush,Svetlana Chmakova,4.52,1942,412,2018,240,
Property of the Rebel Librarian,Allison Varnes,4.05,851,271,2018,275,
Tumble & Blue,Cassie Beasley,3.94,1125,259,2017,400,
The Penderwicks at Last,Jeanne Birdsall,4.08,2833,631,2018,256,
The Peculiar Incident on Shady Street,Lindsay Currie,4.07,637,207,2017,304,
Old School,Jeff Kinney,4.3,28359,2423,2015,224,
Chasing Secrets,Gennifer Choldenko,3.8,1897,356,2015,288,
Hoodoo,Ronald L.  Smith,3.78,942,249,2015,224,
Darth Paper Strikes Back,Tom Angleberger,4.12,12723,895,2011,163,
The Year of Billy Miller,Kevin Henkes,3.77,7631,1160,2013,240,
The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,4.11,202413,22124,2007,230,
Into the Gauntlet,Margaret Peterson Haddix,3.95,58555,889,2010,327,
Charlie Bone and the Invisible Boy,Jenny Nimmo,3.9,21129,421,2004,408,
Running Out of Time,Margaret Peterson Haddix,3.98,21977,1426,2004,184,
Misty of Chincoteague,Marguerite Henry,4.05,38613,1017,2006,176,
The Adventures of Huckleberry Finn,Mark Twain,3.81,1073914,14005,2002,327,
The Rithmatist,Brandon Sanderson,4.25,43942,5598,2014,353,
The Season of Styx Malone,Kekla Magoon,4.11,643,164,2018,304,
Foxheart,Claire Legrand,3.97,518,119,2016,480,
"Stef Soto, Taco Queen",Jennifer    Torres,3.92,1100,231,2017,176,
My Diary from the Edge of the World,Jodi Lynn Anderson,4.1,1128,261,2015,432,
Shadow Magic,Joshua Khan,4.14,1343,332,2016,336,
The Curious World of Calpurnia Tate,Jacqueline Kelly,4.23,2934,603,2015,315,
Once Was a Time,Leila Sales,4.05,903,232,2016,322,
A Dangerous Path,Erin Hunter,4.44,32696,879,2005,313,
The Giving Tree,Shel Silverstein,4.37,809946,16102,1964,64,
Sandry's Book,Tamora Pierce,4.01,35369,981,2006,252,
The Wee Free Men,Terry Pratchett,4.27,82398,3672,2004,390,
The Golem's Eye,Jonathan Stroud,4.1,79305,1856,2006,562,
In the Hand of the Goddess,Tamora Pierce,4.25,77580,1752,2005,264,
"Drum Roll, Please",Lisa Jenn Bigelow,4.21,421,124,2018,320,
Fake Blood,Whitney Gardner,3.74,1517,314,2018,300,
Neverseen,Shannon Messenger,4.7,7244,718,2015,672,
Absolutely Truly,Heather Vogel Frederick,4.02,2499,457,2014,368,
The Hero's Guide to Storming the Castle,Christopher Healy,4.22,4121,421,2013,477,
"I'd Tell You I Love You, But Then I'd Have to Kill You",Ally Carter,3.83,165819,7115,2006,284,
Among the Betrayed,Margaret Peterson Haddix,4.07,22578,1002,2002,160,
The Angel Experiment,James Patterson,4.08,195156,9061,2006,413,
Mrs. Piggle-Wiggle,Betty MacDonald,4.16,49411,1246,2007,144,
Clementine,Sara Pennypacker,3.92,17992,1790,2006,144,
The Grey King,Susan Cooper,4.19,33050,796,2007,165,
The House with Chicken Legs,Sophie   Anderson,4.1,1554,309,2018,337,
Warren the 13th and The All-Seeing Eye,Tania del Rio,4.09,1356,433,2015,224,
The Secret of the Fortune Wookiee,Tom Angleberger,4.01,10709,578,2012,202,
Hold Fast,Blue Balliett,3.83,4023,553,2013,288,
How to Be a Pirate,Cressida Cowell,4.07,11890,925,2005,211,
"If You're Reading This, It's Too Late",Pseudonymous Bosch,4.23,21918,938,2008,385,
Molly Moon's Incredible Book of Hypnotism,Georgia Byng,3.88,21244,841,2004,371,
Scat,Carl Hiaasen,3.95,16323,1999,2009,386,
The Storm Keeper's Island,Catherine Doyle,4.3,934,238,2018,320,
The Someday Birds,Sally J. Pla,4.26,1480,329,2017,336,
Dragonwatch,Brandon Mull,4.32,6930,885,2017,384,
"Horten's Miraculous Mechanisms: Magic, Mystery,  a Very Strange Adventure",Lissa Evans,3.91,3022,495,2012,272,
Pennyroyal Academy,M.A. Larson,3.79,2538,425,2014,320,
The Darkest Hour,Erin Hunter,4.53,33765,1151,2005,315,
Theodore Boone: Kid Lawyer,John Grisham,3.74,27811,3287,2010,4,
"Love, Aubrey",Suzanne LaFleur,4.2,9615,1114,2009,272,
Ramona the Brave,Beverly Cleary,4.11,51754,666,2000,160,
Beyond the Deepwoods,Paul Stewart,4.04,12676,780,2006,288,
Penny from Heaven,Jennifer L. Holm,3.99,8107,777,2006,288,
Hate That Cat,Sharon Creech,3.9,7844,1272,2008,160,
The Mad Wolf's Daughter,Diane Magras,4.22,567,183,2018,288,
Greetings from Witness Protection!,Jake Burt,4.29,1632,390,2017,368,
Paper Things,Jennifer Richard Jacobson,4.16,2794,571,2015,384,
Nightingale's Nest,Nikki Loftin,3.88,1203,243,2014,256,
Small as an Elephant,Jennifer Richard Jacobson,3.97,6448,941,2011,275,
The Clockwork Three,Matthew J. Kirby,3.99,6548,1040,2010,395,
Elijah of Buxton,Christopher Paul Curtis,3.92,11884,1498,2007,341,
Book of a Thousand Days,Shannon Hale,3.96,44886,5952,2007,306,
Cloud and Wallfish,Anne Nesbet,4.05,1157,288,2016,400,
Grounded: The Adventures of Rapunzel,Megan   Morrison,4.16,2047,310,2015,384,
The Girl Who Could Not Dream,Sarah Beth Durst,4.16,1020,237,2015,384,
Rules for Stealing Stars,Corey Ann Haydu,3.92,900,202,2015,336,
Spy School,Stuart Gibbs,4.2,8781,839,2012,304,
The Ice Dragon,George R.R. Martin,3.78,13710,1948,2017,112,
The Breadwinner,Deborah Ellis,3.96,17509,1866,2001,171,
The Doll People,Ann M. Martin,4.03,13524,1204,2003,288,
Sal and Gabi Break the Universe,Carlos  Hernandez,4.23,316,110,2019,382,
Lumberjanes: Unicorn Power!,Mariko Tamaki,3.78,652,221,2017,239,
Summer of the Gypsy Moths,Sara Pennypacker,3.91,4514,508,2012,275,
Shug,Jenny Han,3.99,9826,1172,2006,248,
The Hidden Witch,Molly Ostertag,4.29,1423,269,2018,224,
The Benefits of Being an Octopus,Ann Braden,4.48,1113,385,2018,256,
Through the Looking-Glass and What Alice Found There,Lewis Carroll,4.05,89616,2608,1993,228,
An Author's Odyssey,Chris Colfer,4.48,14005,1082,2016,448,
The Accidental Afterlife of Thomas Marsden,Emma Trevayne,3.42,615,145,2015,247,
Castle Hangnail,Ursula Vernon,4.21,1993,429,2015,384,
The Boy on the Porch,Sharon Creech,3.9,4899,835,2013,160,
Icefall,Matthew J. Kirby,3.99,5079,867,2011,324,
Scumble,Ingrid Law,4.04,12206,831,2010,400,
Once Upon a Crime,Michael Buckley,4.27,17369,514,2007,272,
Home of the Brave,Katherine Applegate,4.25,7864,1220,2007,249,
Charlie Bone and the Castle of Mirrors,Jenny Nimmo,3.9,21652,326,2005,432,
Al Capone Shines My Shoes,Gennifer Choldenko,4.0,7067,804,2009,274,
The House of the Scorpion,Nancy Farmer,4.1,71502,5988,2004,380,
The Last Fifth Grade of Emerson Elementary,Laura Shovan,4.05,1222,305,2016,227,
The Night Parade,Kathryn Tanquary,3.78,761,215,2016,320,
Secret Coders,Gene Luen Yang,3.91,3012,430,2015,96,
A Nearer Moon,Melanie  Crowder,3.72,614,158,2015,154,
"Enchanted Air: Two Cultures, Two Wings",Margarita Engle,4.05,2158,435,2015,192,
Thursdays with the Crown,Jessica Day George,4.09,3035,361,2014,224,
Upside Down in the Middle of Nowhere,Julie T. Lamana,4.23,3170,535,2014,320,
Fake Mustache,Tom Angleberger,3.82,3752,464,2012,208,
The Fire Chronicle,John  Stephens,4.24,7172,658,2012,437,
Close to Famous,Joan Bauer,4.03,8516,971,2011,250,
Leviathan,Scott Westerfeld,3.91,80046,6801,2009,440,
The Sorcerer in the North,John Flanagan,4.26,53101,1548,2009,304,
